Mt,Mh_abs,Mh_c6_0,Mh_c6_0_1,Mh_c6_1_0
0.00000,0.00003,0.00003,0.00003,0.00003
2.00000,0.00003,0.00003,0.00003,0.00003
4.00000,0.00003,0.00003,0.00003,0.00003
6.00000,0.00003,0.00003,0.00003,0.00003
8.00000,0.00003,0.00003,0.00003,0.00003
10.00000,0.00003,0.00003,0.00003,0.00003
12.00000,0.00003,0.00003,0.00003,0.00003
14.00000,0.00003,0.00003,0.00003,0.00003
16.00000,0.00003,0.00003,0.00003,0.00003
18.00000,0.00003,0.00003,0.00003,0.00003
20.00000,0.00003,0.00003,0.00003,0.00003
22.00000,0.00003,0.00003,0.00003,0.00003
24.00000,0.00003,0.00003,0.00003,0.00003
26.00000,0.00003,0.00003,0.00003,0.00003
28.00000,0.00003,0.00003,0.00003,0.00003
30.00000,0.00003,0.00003,0.00003,0.00003
32.00000,0.00003,0.00003,0.00003,0.00003
34.00000,0.00003,0.00003,0.00003,0.00003
36.00000,0.00003,0.00003,0.00003,0.00003
38.00000,0.00003,0.00003,0.00003,0.00003
40.00000,0.00003,0.00003,0.00003,0.00003
42.00000,0.00003,0.00003,0.00003,0.00003
44.00000,0.00003,0.00003,0.00003,0.00003
46.00000,0.00003,0.00003,0.00003,0.00003
48.00000,0.00003,0.00003,0.00003,0.00003
50.00000,0.00003,0.00003,0.00003,0.00003
52.00000,0.00003,0.00003,0.00003,0.00003
54.00000,0.00003,0.00003,0.00003,0.00003
56.00000,0.00003,0.00003,0.00003,0.00003
58.00000,0.00003,0.00003,0.00003,0.00003
60.00000,0.00003,0.00003,0.00003,0.00003
62.00000,0.00003,0.00003,0.00003,0.00003
64.00000,0.00003,0.00003,0.00003,0.00003
66.00000,0.00003,0.00003,0.00003,0.00003
68.00000,0.00003,0.00003,0.00003,0.00003
70.00000,0.00003,0.00003,0.00003,0.00003
72.00000,0.00003,0.00003,0.00003,0.00003
74.00000,0.00003,0.00003,0.00003,0.00003
76.00000,0.00003,0.00003,0.00003,0.00003
78.00000,0.00003,0.00003,0.00003,0.00003
80.00000,0.00003,0.00003,0.00003,0.00003
82.00000,0.00003,0.00003,0.00003,0.00003
84.00000,0.00003,0.00003,0.00003,0.00003
86.00000,0.00003,0.00003,0.00003,0.00003
88.00000,0.00003,0.00003,0.00003,0.00003
90.00000,0.00003,0.00003,0.00003,0.00003
92.00000,0.00003,0.00003,0.00003,0.00003
94.00000,4.41822,0.00003,0.00003,0.00003
96.00000,7.25338,0.00003,0.00003,0.00003
98.00000,9.71380,0.00003,0.00003,0.00003
100.00000,12.05775,0.00003,0.00003,0.00003
102.00000,14.36719,0.00003,0.00003,0.00003
104.00000,16.67675,0.00003,0.00003,0.00003
